,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,Datt3,DCNI,LAI,PREC,date,hybrid_or_inbred,pedigree,nitrogen_treatment
20,209,0.909,46.6,19.89,0.48479813,0.712034548,90.00927107,0.000477033,0.581745,0.624335,0.410555,-0.18526,0.65633,0.45308,5.32445,0.49321,1012,4.251995,28.96699,1.473,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
21,210,0.94,46.43,19.54,0.79663837,0.770262496,78.2286828,0.000443352,0.59254,0.63404,0.41618,-0.193675,0.66637,0.44914,5.547925,0.493775,1012,4.45329,29.71559,1.546,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
22,211,1.136,60.91,31.53,0.748948382,0.733776079,89.96989097,0.000499023,0.694025,0.729425,0.49625,-0.36594,0.83172,0.51114,9.070265,0.57412,1012,6.66998,41.183685,2.156,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
23,212,1.201,68.95,36.5,0.752798854,0.818321287,89.60474502,0.000510128,0.71292,0.74384,0.530895,-0.38608,0.87383,0.54891,9.6204,0.60887,1012,7.08429,40.10004,2.376,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
24,301,1.181,64.01,30.95,0.427023965,0.685859664,88.99761113,0.000536097,0.684965,0.727225,0.50705,-0.3728,0.82041,0.532975,9.115475,0.59045,1012,6.515575,39.65327,2.007,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
25,302,1.184,64.29,32.29,0.391468584,0.811331733,89.30150943,0.000577388,0.687,0.728675,0.51176,-0.37179,0.831015,0.541125,9.09796,0.59702,1012,6.513885,38.810095,2.179,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
26,303,1.183855257,64.56,31.07,0.295398044,0.777230183,89.68858347,0.00060027,0.69461,0.737305,0.51695,-0.39256,0.840875,0.542145,9.480665,0.601385,1012,6.655405,39.441125,2.466,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
27,304,1.198,65.68,31.96,0.25649922,0.845703546,88.05883826,0.000588091,0.69127,0.72898,0.50606,-0.3764,0.834695,0.531535,9.041395,0.589865,1012,6.521145,39.922675,2.288,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
28,305,1.135,62.36,27.57,0.289825809,0.849802572,89.25962275,0.000579144,0.66816,0.70694,0.49576,-0.30786,0.80711,0.526435,7.86094,0.577795,1012,5.900775,35.16479,2.22,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
29,306,1.114,59.52,26.63,0.224905258,0.791079765,87.67589544,0.00060173,0.657175,0.693135,0.48228,-0.278955,0.78756,0.51033,7.29326,0.56071,1012,5.615245,33.536745,1.881,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
30,307,1.236056276,68.75,36.64,0.286177665,0.815106537,88.59754338,0.00062732,0.707785,0.74683,0.488595,-0.40749,0.852745,0.482445,9.772015,0.55908,1012,6.87596,42.465935,2.536,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
31,308,1.186,65.16,34.14,0.19295154,0.795550784,86.94749017,0.00068419,0.69682,0.73132,0.514175,-0.372865,0.85218,0.541165,9.05124,0.59791,1012,6.608995,38.896525,2.561,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
32,309,1.209,67.42,32.59,0.232821644,0.849714906,89.52904588,0.000626436,0.708655,0.74302,0.530725,-0.399025,0.870725,0.5563,9.632755,0.613955,1012,6.986475,39.957975,2.198,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
33,310,1.1795,68.62,36.61,0.569167514,0.846477896,90.23479074,0.000570349,0.71534,0.746545,0.53142,-0.403475,0.87997,0.55107,9.805175,0.611405,1012,7.17525,40.57824,2.361,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
34,311,1.245,69.83,37.67,0.337300858,0.820823416,89.35494534,0.000647572,0.724965,0.75545,0.55044,-0.419355,0.894525,0.56957,10.363015,0.629405,1012,7.477,40.599705,2.638,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
35,312,1.175,68.47,37.05,0.352737826,0.866747318,90.39044413,0.000649017,0.7099,0.740195,0.527635,-0.37928,0.872655,0.549955,9.427735,0.60827,1012,6.963905,39.920375,2.167,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
36,401,1.1985,65.41,32.41,0.720669979,0.771865981,90.53651813,0.000449531,0.69276,0.73511,0.519415,-0.38595,0.8328,0.544315,9.47043,0.602025,1012,6.714175,39.729905,2.016,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
37,402,1.2155,66.48,34.38,0.626047733,0.807009719,90.16852711,0.000507582,0.70045,0.740735,0.537695,-0.401755,0.85506,0.570985,9.68311,0.62432,1012,6.87123,39.132255,2.17,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
38,403,1.192475,65.82,33.41,0.475514499,0.839982926,89.81156643,0.000545945,0.697665,0.73942,0.5289,-0.395365,0.84629,0.558435,9.59592,0.6141,1012,6.770555,39.223225,2.215,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
39,404,1.1605,62.42,31.23,0.410476043,0.745622675,88.40458091,0.000540547,0.67751,0.7209,0.4794,-0.35522,0.80307,0.493595,8.6852,0.557785,1012,6.215145,39.748705,2.176,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
40,405,1.2,66.51,32.93,0.460096808,0.781355055,89.77824049,0.000537075,0.70237,0.741565,0.50754,-0.405485,0.84704,0.51761,9.674025,0.58485,1012,6.857765,41.244385,2.088,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
41,406,1.1435,64.29,32.4,0.429847463,0.83378021,89.45494095,0.000553397,0.69786,0.737455,0.46397,-0.37718,0.82958,0.45126,9.255955,0.529205,1012,6.64645,42.53227,1.947,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
42,407,1.2015,65.78,33.23,0.271999513,0.848739685,88.15528069,0.000623352,0.70543,0.745005,0.470475,-0.38483,0.841975,0.45317,9.54796,0.533115,1012,6.81458,42.563715,2.141,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
43,408,1.149,63.15,32.86,0.120875146,0.737232818,89.4019784,0.000695028,0.692985,0.73072,0.48989,-0.363605,0.837975,0.502235,8.961825,0.56683,1012,6.503585,39.668505,2.103,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
44,409,1.178,65.83,32.81,0.303916049,0.726570725,90.80000502,0.000625187,0.700075,0.73678,0.52148,-0.37819,0.85625,0.545365,9.262785,0.60318,1012,6.740975,39.058265,2.045,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
