,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
66,"('linear', 0.1, 0.2)","{'fold_0': 0.5291304416789494, 'fold_1': 0.6174367426518907, 'fold_2': 0.5545119798404324, 'fold_3': 0.6629264415135774, 'fold_4': 0.5239824573130307, 'fold_5': 0.5865442849899358, 'fold_6': 0.5722109037042187, 'fold_7': 0.5891360890762217, 'fold_8': 0.5185509367501616, 'fold_9': 0.6122127191952609}","{'fold_0': 0.6702855361744928, 'fold_1': 0.6635458244955965, 'fold_2': 0.5324746898093333, 'fold_3': 0.7130703604224431, 'fold_4': 0.6173015990466579, 'fold_5': 0.5962014669744737, 'fold_6': 0.719384044749138, 'fold_7': 0.7123725854187176, 'fold_8': 0.7250663373280005, 'fold_9': 0.3050467285083023}",{},0.6255,0.577
67,"('linear', 0.1, 0.25)","{'fold_0': 0.5324234975951416, 'fold_1': 0.6169928769355033, 'fold_2': 0.550906592275945, 'fold_3': 0.6605104270058434, 'fold_4': 0.5219686263609157, 'fold_5': 0.5921578269043563, 'fold_6': 0.5737595018139277, 'fold_7': 0.5942667094038663, 'fold_8': 0.5190325381628064, 'fold_9': 0.5984815407164051}","{'fold_0': 0.666168793942355, 'fold_1': 0.6640293940147126, 'fold_2': 0.5385345412015049, 'fold_3': 0.7151579614234791, 'fold_4': 0.6202376091037303, 'fold_5': 0.5884353459695653, 'fold_6': 0.7178631042332269, 'fold_7': 0.7073410389011319, 'fold_8': 0.7245554138381212, 'fold_9': 0.3358710270948956}",{},0.6278,0.576
68,"('linear', 0.1, 0.5)","{'fold_0': 0.5621980284317877, 'fold_1': 0.6144058712211221, 'fold_2': 0.5797196901739926, 'fold_3': 0.6572674560230533, 'fold_4': 0.5041113998532878, 'fold_5': 0.6314526170807307, 'fold_6': 0.5874733448729735, 'fold_7': 0.6008641915684044, 'fold_8': 0.5054706686809013, 'fold_9': 0.6130709726105878}","{'fold_0': 0.6277873406809337, 'fold_1': 0.66684088747751, 'fold_2': 0.48900180807122784, 'fold_3': 0.7179481271938982, 'fold_4': 0.6457774621572097, 'fold_5': 0.5320012891657687, 'fold_6': 0.7042148033234822, 'fold_7': 0.7008068343906843, 'fold_8': 0.7387616148054506, 'fold_9': 0.30309686998634355}",{},0.6126,0.586
69,"('linear', 0.1, 1.0)","{'fold_0': 0.6074830788102691, 'fold_1': 0.5846791899540653, 'fold_2': 0.579176701630496, 'fold_3': 0.7016423533767465, 'fold_4': 0.548437513756915, 'fold_5': 0.7150892222090968, 'fold_6': 0.5803053964610275, 'fold_7': 0.6257621550787941, 'fold_8': 0.5060760486677139, 'fold_9': 0.5494610321613039}","{'fold_0': 0.5654088540980138, 'fold_1': 0.6982993433208529, 'fold_2': 0.4899586022796608, 'fold_3': 0.6785774645330971, 'fold_4': 0.5807457634381876, 'fold_5': 0.3998171430105494, 'fold_6': 0.7113887069490334, 'fold_7': 0.6754978255520843, 'fold_8': 0.7381354926435366, 'fold_9': 0.44021055860171876}",{},0.5978,0.6
70,"('linear', 0.2, 0.05)","{'fold_0': 0.5295656529611138, 'fold_1': 0.630239321792706, 'fold_2': 0.5704816386597075, 'fold_3': 0.6865460719249664, 'fold_4': 0.5406711707655464, 'fold_5': 0.6124740800910535, 'fold_6': 0.5809882775285465, 'fold_7': 0.6070481552594851, 'fold_8': 0.5633624048944766, 'fold_9': 0.6412869600186327}","{'fold_0': 0.6697429309643206, 'fold_1': 0.6494483831915714, 'fold_2': 0.505157944255479, 'fold_3': 0.6922598913073004, 'fold_4': 0.592535685683786, 'fold_5': 0.5597102756666195, 'fold_6': 0.7107090539545586, 'fold_7': 0.6946166815230829, 'fold_8': 0.675495446835455, 'fold_9': 0.23747212316930222}",{},0.5987,0.596
71,"('linear', 0.2, 0.1)","{'fold_0': 0.5378521481763098, 'fold_1': 0.6453617887420986, 'fold_2': 0.574358326711519, 'fold_3': 0.6747567903595689, 'fold_4': 0.5388844878534407, 'fold_5': 0.5981824325605894, 'fold_6': 0.5899659583832657, 'fold_7': 0.6027378830149581, 'fold_8': 0.5545514017160024, 'fold_9': 0.653239283410415}","{'fold_0': 0.6593265266578219, 'fold_1': 0.6324237205421545, 'fold_2': 0.498409729452465, 'fold_3': 0.7027380947728328, 'fold_4': 0.5952242205628614, 'fold_5': 0.5800182385568483, 'fold_6': 0.7016994814047619, 'fold_7': 0.6989379603800281, 'fold_8': 0.6855665895278042, 'fold_9': 0.20878320962131358}",{},0.5963,0.597
72,"('linear', 0.2, 0.15)","{'fold_0': 0.5284377402422455, 'fold_1': 0.6345473106824037, 'fold_2': 0.5635915394393485, 'fold_3': 0.6714827842586906, 'fold_4': 0.54288646803743, 'fold_5': 0.5936210457739061, 'fold_6': 0.5888242679864544, 'fold_7': 0.6012538634407079, 'fold_8': 0.5437614694475945, 'fold_9': 0.6385957435081419}","{'fold_0': 0.671148250416993, 'fold_1': 0.6446396262775902, 'fold_2': 0.5170388572548748, 'fold_3': 0.7056158017313777, 'fold_4': 0.5891898301600376, 'fold_5': 0.5863988848497008, 'fold_6': 0.7028528947619969, 'fold_7': 0.7004186436242611, 'fold_8': 0.6976834431981163, 'fold_9': 0.24385872315805723}",{},0.6059,0.591
73,"('linear', 0.2, 0.2)","{'fold_0': 0.534137456219857, 'fold_1': 0.6323060057376632, 'fold_2': 0.5561446572057317, 'fold_3': 0.6599392175687145, 'fold_4': 0.5341094230027421, 'fold_5': 0.5837424879132996, 'fold_6': 0.570815507490938, 'fold_7': 0.5896566942285284, 'fold_8': 0.5195266747240079, 'fold_9': 0.6282568668150651}","{'fold_0': 0.6640160195565241, 'fold_1': 0.6471455524049714, 'fold_2': 0.5297175204167113, 'fold_3': 0.7156504112031201, 'fold_4': 0.6023658890181766, 'fold_5': 0.600049972336237, 'fold_6': 0.7207509987727236, 'fold_7': 0.7118640221930729, 'fold_8': 0.724030699027594, 'fold_9': 0.2681444079385472}",{},0.6184,0.581
74,"('linear', 0.2, 0.25)","{'fold_0': 0.5291716602968822, 'fold_1': 0.6266637959586712, 'fold_2': 0.5594325324375725, 'fold_3': 0.6506451049310831, 'fold_4': 0.5241519237905914, 'fold_5': 0.5918842909189529, 'fold_6': 0.5609170618294745, 'fold_7': 0.5898972068448256, 'fold_8': 0.5223524346726237, 'fold_9': 0.6141774236858448}","{'fold_0': 0.6702341654621783, 'fold_1': 0.6534146571276318, 'fold_2': 0.5241405516174578, 'fold_3': 0.7236031666817476, 'fold_4': 0.6170540142784808, 'fold_5': 0.5888154869945277, 'fold_6': 0.7303518760798072, 'fold_7': 0.7116289210847047, 'fold_8': 0.7210204829781696, 'fold_9': 0.3005791026454214}",{},0.6241,0.577
75,"('linear', 0.2, 0.5)","{'fold_0': 0.554384845749785, 'fold_1': 0.6189706601006457, 'fold_2': 0.5865822572906554, 'fold_3': 0.648680835706352, 'fold_4': 0.49069507502558046, 'fold_5': 0.6165537463441243, 'fold_6': 0.5775917327400886, 'fold_7': 0.5774827862426763, 'fold_8': 0.523153832424035, 'fold_9': 0.6325262216859769}","{'fold_0': 0.6380611486656227, 'fold_1': 0.6618720206295889, 'fold_2': 0.47683208021931267, 'fold_3': 0.7252695075696118, 'fold_4': 0.6643809905304844, 'fold_5': 0.5538252349276849, 'fold_6': 0.7140816434185202, 'fold_7': 0.7236387749764326, 'fold_8': 0.720163800604164, 'fold_9': 0.2581638794821193}",{},0.6136,0.583
