,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
0,"('rbf', 0.05, 0.05)","{'fold_0': 0.6569609055296758, 'fold_1': 0.4365586117152755, 'fold_2': 0.2596980081897771, 'fold_3': 0.37254429122164384, 'fold_4': 0.37258410777716844, 'fold_5': 0.3449993463040345, 'fold_6': 0.357631291347788, 'fold_7': 0.3993110385521708, 'fold_8': 0.29949503084725737, 'fold_9': 0.3914146019309902}","{'fold_0': 0.5732000211898155, 'fold_1': 0.8144720144618569, 'fold_2': 0.8886163954564542, 'fold_3': 0.8475466687141152, 'fold_4': 0.8378269769122124, 'fold_5': 0.7898616105569214, 'fold_6': 0.8543531075405153, 'fold_7': 0.8027079170721669, 'fold_8': 0.867757331570808, 'fold_9': 0.77928377092272}",{},0.8056,0.389
1,"('rbf', 0.05, 0.1)","{'fold_0': 0.6633413916344739, 'fold_1': 0.43926589174542796, 'fold_2': 0.25584801506704963, 'fold_3': 0.3803722863240849, 'fold_4': 0.3707272091318099, 'fold_5': 0.3420363075844764, 'fold_6': 0.36000289630902127, 'fold_7': 0.3973162609542292, 'fold_8': 0.2961358069340619, 'fold_9': 0.4008081927067407}","{'fold_0': 0.5648694940673358, 'fold_1': 0.8121638083802689, 'fold_2': 0.8918944141485243, 'fold_3': 0.841072582211884, 'fold_4': 0.8394394367408935, 'fold_5': 0.7934556716667911, 'fold_6': 0.8524150098170881, 'fold_7': 0.8046741578258098, 'fold_8': 0.870707239692536, 'fold_9': 0.7685626747460079}",{},0.8039,0.391
2,"('rbf', 0.05, 0.15)","{'fold_0': 0.6601648748775941, 'fold_1': 0.43532373768403565, 'fold_2': 0.2560695812886605, 'fold_3': 0.39103033571537615, 'fold_4': 0.37047211678468045, 'fold_5': 0.337400328434415, 'fold_6': 0.3606109739774763, 'fold_7': 0.39409230070684037, 'fold_8': 0.29622178948526057, 'fold_9': 0.40408107653887904}","{'fold_0': 0.5690269005526725, 'fold_1': 0.8155201196075661, 'fold_2': 0.8917070926426333, 'fold_3': 0.8320414971596339, 'fold_4': 0.8396603197982321, 'fold_5': 0.7990167535515589, 'fold_6': 0.8519160197822047, 'fold_7': 0.8078311786630263, 'fold_8': 0.8706321489064004, 'fold_9': 0.7647675421910884}",{},0.8042,0.391
3,"('rbf', 0.05, 0.2)","{'fold_0': 0.6673204731991125, 'fold_1': 0.4477882641784711, 'fold_2': 0.25597194857120736, 'fold_3': 0.39295660298238655, 'fold_4': 0.37276855818656823, 'fold_5': 0.34294719219826647, 'fold_6': 0.36502245839165276, 'fold_7': 0.4033973169078951, 'fold_8': 0.3016808796981948, 'fold_9': 0.4119086587112299}","{'fold_0': 0.5596335392667888, 'fold_1': 0.804804534702894, 'fold_2': 0.8917896554771587, 'fold_3': 0.830382649649591, 'fold_4': 0.837666367352279, 'fold_5': 0.7923541010796199, 'fold_6': 0.8482707285224511, 'fold_7': 0.7986493497262864, 'fold_8': 0.8658199549289366, 'fold_9': 0.7555657472222168}",{},0.7985,0.396
4,"('rbf', 0.05, 0.25)","{'fold_0': 0.670074008761952, 'fold_1': 0.4600238222135508, 'fold_2': 0.24825568816033872, 'fold_3': 0.3867663476340683, 'fold_4': 0.3716750870658872, 'fold_5': 0.3473789675877767, 'fold_6': 0.3701542736806519, 'fold_7': 0.4084956055219674, 'fold_8': 0.3077834059674023, 'fold_9': 0.4160580746252091}","{'fold_0': 0.5559919114860437, 'fold_1': 0.7939915882707792, 'fold_2': 0.8982153126706426, 'fold_3': 0.835684530636591, 'fold_4': 0.8386173423610159, 'fold_5': 0.786952768394559, 'fold_6': 0.8439744446332953, 'fold_7': 0.793527696163767, 'fold_8': 0.86033655047286, 'fold_9': 0.7506162614840716}",{},0.7958,0.399
5,"('rbf', 0.05, 0.5)","{'fold_0': 0.7497645183180873, 'fold_1': 0.5361997075368778, 'fold_2': 0.3090886401448552, 'fold_3': 0.4641977029732443, 'fold_4': 0.45185237024620484, 'fold_5': 0.4006284818877888, 'fold_6': 0.4480614139523247, 'fold_7': 0.4874293552487358, 'fold_8': 0.3772314537911835, 'fold_9': 0.5010524145003615}","{'fold_0': 0.44410200860677573, 'fold_1': 0.7201163975519416, 'fold_2': 0.8422206660313056, 'fold_3': 0.7633060990737864, 'fold_4': 0.7614809400779574, 'fold_5': 0.7166308954902207, 'fold_6': 0.7713847004021444, 'fold_7': 0.7060250077022638, 'fold_8': 0.7901987089099731, 'fold_9': 0.6383182963041794}",{},0.7154,0.473
6,"('rbf', 0.05, 1.0)","{'fold_0': 0.9511885709819756, 'fold_1': 0.7323485165381236, 'fold_2': 0.47827653810814447, 'fold_3': 0.6613369143457623, 'fold_4': 0.6334221461593418, 'fold_5': 0.6223009103228323, 'fold_6': 0.6807980770903509, 'fold_7': 0.635653871874146, 'fold_8': 0.5878462825818151, 'fold_9': 0.7326526925642218}","{'fold_0': 0.1052976391407826, 'fold_1': 0.47789251181188896, 'fold_2': 0.6222171967586687, 'fold_3': 0.5195738674839269, 'fold_4': 0.5312768039677963, 'fold_5': 0.31629347035679756, 'fold_6': 0.4722030915811656, 'fold_7': 0.5000478742091962, 'fold_8': 0.4905284769086141, 'fold_9': 0.2266848451207737}",{},0.4262,0.672
7,"('rbf', 0.1, 0.05)","{'fold_0': 0.5860490760850828, 'fold_1': 0.3542839414886562, 'fold_2': 0.22896102649826933, 'fold_3': 0.26633357703294486, 'fold_4': 0.27164783684162913, 'fold_5': 0.3159637862513892, 'fold_6': 0.25794387073144903, 'fold_7': 0.33789179250733065, 'fold_8': 0.24889182650841765, 'fold_9': 0.3291450088494102}","{'fold_0': 0.6603643203380763, 'fold_1': 0.8778123689239831, 'fold_2': 0.9134220780293447, 'fold_3': 0.9220828718418629, 'fold_4': 0.9137930139673361, 'fold_5': 0.8237441769719333, 'fold_6': 0.9242329067102522, 'fold_7': 0.8587324831142534, 'fold_8': 0.9086699634495816, 'fold_9': 0.8439244877813197}",{},0.8647,0.32
8,"('rbf', 0.1, 0.1)","{'fold_0': 0.5827355025172366, 'fold_1': 0.3508506060647992, 'fold_2': 0.22455141890910438, 'fold_3': 0.27848166372835553, 'fold_4': 0.2765554137220665, 'fold_5': 0.3121594475768158, 'fold_6': 0.26057006337063426, 'fold_7': 0.34202527687716955, 'fold_8': 0.2506697133080676, 'fold_9': 0.33511571589881056}","{'fold_0': 0.6641941232631969, 'fold_1': 0.8801691136138242, 'fold_2': 0.9167248088837495, 'fold_3': 0.9148128080127276, 'fold_4': 0.9106500552425265, 'fold_5': 0.8279630153226996, 'fold_6': 0.9226822444663632, 'fold_7': 0.8552550461198949, 'fold_8': 0.9073605238733052, 'fold_9': 0.8382106940346427}",{},0.8638,0.321
9,"('rbf', 0.1, 0.15)","{'fold_0': 0.5897280315039827, 'fold_1': 0.35339174983001886, 'fold_2': 0.22014616476341048, 'fold_3': 0.27584580735600495, 'fold_4': 0.28107370168502144, 'fold_5': 0.30591412518378824, 'fold_6': 0.2680035041580063, 'fold_7': 0.3474739217630144, 'fold_8': 0.2481685480795674, 'fold_9': 0.3349297258304958}","{'fold_0': 0.6560867726305635, 'fold_1': 0.8784270031580677, 'fold_2': 0.9199601477054135, 'fold_3': 0.9164177865779326, 'fold_4': 0.9077066550961342, 'fold_5': 0.8347779844367216, 'fold_6': 0.9182079400468508, 'fold_7': 0.8506065840082698, 'fold_8': 0.9092000014628281, 'fold_9': 0.8383902311455257}",{},0.863,0.322
10,"('rbf', 0.1, 0.2)","{'fold_0': 0.6070865829418677, 'fold_1': 0.36456896885396084, 'fold_2': 0.21354854184619732, 'fold_3': 0.2724009865233332, 'fold_4': 0.27741442646834075, 'fold_5': 0.30589026254499524, 'fold_6': 0.2734016745410065, 'fold_7': 0.34619693439908594, 'fold_8': 0.2559881860203007, 'fold_9': 0.3433153826947596}","{'fold_0': 0.6355427397697482, 'fold_1': 0.8706150657568368, 'fold_2': 0.9246857333911973, 'fold_3': 0.9184923362252355, 'fold_4': 0.9100941309032576, 'fold_5': 0.8348037595100652, 'fold_6': 0.9148798183770015, 'fold_7': 0.8517026256997559, 'fold_8': 0.90338774753757, 'fold_9': 0.8301964571866833}",{},0.8594,0.326
