,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
11,"('rbf', 0.1, 0.25)","{'fold_0': 0.6197867515487286, 'fold_1': 0.3744588086652894, 'fold_2': 0.2098832212973568, 'fold_3': 0.2845478321784438, 'fold_4': 0.2911040649929754, 'fold_5': 0.3061322332811989, 'fold_6': 0.2867563007818986, 'fold_7': 0.3633396255358562, 'fold_8': 0.26294706926785955, 'fold_9': 0.35724769043216786}","{'fold_0': 0.6201344459771748, 'fold_1': 0.8635000751798043, 'fold_2': 0.9272489152775356, 'fold_3': 0.9110611200806398, 'fold_4': 0.9010019820930077, 'fold_5': 0.8345423032248206, 'fold_6': 0.9063611352743414, 'fold_7': 0.8366524765312611, 'fold_8': 0.8980636612104935, 'fold_9': 0.8161349937595369}",{},0.8515,0.336
12,"('rbf', 0.1, 0.5)","{'fold_0': 0.702473085999684, 'fold_1': 0.45161657430463653, 'fold_2': 0.24336924072557264, 'fold_3': 0.36054030155828665, 'fold_4': 0.33555949341952657, 'fold_5': 0.3673930282699092, 'fold_6': 0.36759532286817626, 'fold_7': 0.42205003176881944, 'fold_8': 0.3239893085847942, 'fold_9': 0.42960548758196015}","{'fold_0': 0.5120169738089664, 'fold_1': 0.8014526687555699, 'fold_2': 0.902182759897036, 'fold_3': 0.8572129804734439, 'fold_4': 0.8684566130969988, 'fold_5': 0.7616963597283766, 'fold_6': 0.8461242597873604, 'fold_7': 0.7795983200207302, 'fold_8': 0.8452417821407725, 'fold_9': 0.7341113116471679}",{},0.7908,0.4
13,"('rbf', 0.1, 1.0)","{'fold_0': 0.9208084848987929, 'fold_1': 0.6792914393513894, 'fold_2': 0.441924819011995, 'fold_3': 0.6047953871527545, 'fold_4': 0.5848904949625603, 'fold_5': 0.5690535321444561, 'fold_6': 0.6224815204200924, 'fold_7': 0.6062292390954022, 'fold_8': 0.5561444361606226, 'fold_9': 0.6866992604264064}","{'fold_0': 0.16153688625674278, 'fold_1': 0.5508032631950532, 'fold_2': 0.6774620537823293, 'fold_3': 0.5982110086446959, 'fold_4': 0.6003506721558074, 'fold_5': 0.42829090427684935, 'fold_6': 0.5587516165468432, 'fold_7': 0.5452624851691681, 'fold_8': 0.543997151725552, 'fold_9': 0.32065031160271185}",{},0.4985,0.627
14,"('rbf', 0.2, 0.05)","{'fold_0': 0.5437571616885758, 'fold_1': 0.3150601990782887, 'fold_2': 0.2395576900993196, 'fold_3': 0.21401090441218532, 'fold_4': 0.23003061714011522, 'fold_5': 0.3041228716487392, 'fold_6': 0.21977533840311647, 'fold_7': 0.3015479986170128, 'fold_8': 0.2240911851295234, 'fold_9': 0.2968476553557462}","{'fold_0': 0.7076148465275192, 'fold_1': 0.9033701298745567, 'fold_2': 0.9052227148505382, 'fold_3': 0.9496901644391439, 'fold_4': 0.9381839502700486, 'fold_5': 0.8367072059220201, 'fold_6': 0.9449967798313219, 'fold_7': 0.8874877196859411, 'fold_8': 0.92596417696515, 'fold_9': 0.873051531118773}",{},0.8872,0.289
15,"('rbf', 0.2, 0.1)","{'fold_0': 0.5476259528501708, 'fold_1': 0.31776132697341847, 'fold_2': 0.2241251771255651, 'fold_3': 0.22750571844247747, 'fold_4': 0.24209718095437033, 'fold_5': 0.3092148774550569, 'fold_6': 0.2300418427717498, 'fold_7': 0.30318689451629444, 'fold_8': 0.22912634251306757, 'fold_9': 0.3124839770578255}","{'fold_0': 0.7034394487678153, 'fold_1': 0.9017061399154183, 'fold_2': 0.9170406534920118, 'fold_3': 0.94314538438208, 'fold_4': 0.9315285658581781, 'fold_5': 0.8311933242709589, 'fold_6': 0.9397379533990361, 'fold_7': 0.8862614007832811, 'fold_8': 0.9225997422230813, 'fold_9': 0.8593253873750488}",{},0.8836,0.294
16,"('rbf', 0.2, 0.15)","{'fold_0': 0.5613726571707823, 'fold_1': 0.3228112470197147, 'fold_2': 0.22438618179970427, 'fold_3': 0.22805529219668086, 'fold_4': 0.23282207736707944, 'fold_5': 0.3021507191668923, 'fold_6': 0.237073298940799, 'fold_7': 0.31065748631328005, 'fold_8': 0.22924206730622618, 'fold_9': 0.30847864862991337}","{'fold_0': 0.6883638375187943, 'fold_1': 0.898557107347179, 'fold_2': 0.9168473205935281, 'fold_3': 0.9428703711279328, 'fold_4': 0.9366745507758061, 'fold_5': 0.8388181561630891, 'fold_6': 0.9359977138301377, 'fold_7': 0.8805872572540148, 'fold_8': 0.9225215374151053, 'fold_9': 0.8629085276955507}",{},0.8824,0.296
17,"('rbf', 0.2, 0.2)","{'fold_0': 0.5773916718815932, 'fold_1': 0.3291180318238513, 'fold_2': 0.22045686355750327, 'fold_3': 0.23980425687805076, 'fold_4': 0.24312659912067489, 'fold_5': 0.30517658858976826, 'fold_6': 0.24302568622381807, 'fold_7': 0.3242921744151444, 'fold_8': 0.23601644827602786, 'fold_9': 0.32326804800404607}","{'fold_0': 0.670324732308576, 'fold_1': 0.8945545938205969, 'fold_2': 0.9197340630558121, 'fold_3': 0.9368323282978372, 'fold_4': 0.9309450349502211, 'fold_5': 0.8355737004765882, 'fold_6': 0.9327434544203883, 'fold_7': 0.8698752334477258, 'fold_8': 0.9178747125039842, 'fold_9': 0.8494482587420328}",{},0.8758,0.304
18,"('rbf', 0.2, 0.25)","{'fold_0': 0.5993592097388174, 'fold_1': 0.33861214775643383, 'fold_2': 0.22068402792512212, 'fold_3': 0.24504096070950523, 'fold_4': 0.25188570210694705, 'fold_5': 0.3067603705135864, 'fold_6': 0.25174028280279814, 'fold_7': 0.34257175511289006, 'fold_8': 0.2449102792731925, 'fold_9': 0.33272123185669783}","{'fold_0': 0.6447617657174819, 'fold_1': 0.8883832485343637, 'fold_2': 0.9195685616994412, 'fold_3': 0.934043368707071, 'fold_4': 0.9258797301527111, 'fold_5': 0.8338626180893434, 'fold_6': 0.927833501715134, 'fold_7': 0.854792137883494, 'fold_8': 0.911568622743968, 'fold_9': 0.8405144825598233}",{},0.8681,0.313
19,"('rbf', 0.2, 0.5)","{'fold_0': 0.6777005617693125, 'fold_1': 0.3934559462421317, 'fold_2': 0.2345839500164257, 'fold_3': 0.28924937093297975, 'fold_4': 0.2784493982665907, 'fold_5': 0.35259374893488127, 'fold_6': 0.3154992964535447, 'fold_7': 0.40187315952413355, 'fold_8': 0.2929330749488847, 'fold_9': 0.4100384138849541}","{'fold_0': 0.5458272975646428, 'fold_1': 0.8492988605933546, 'fold_2': 0.9091174256484206, 'fold_3': 0.9080977933371432, 'fold_4': 0.9094220417495321, 'fold_5': 0.7805083152432297, 'fold_6': 0.8866485731244476, 'fold_7': 0.8001680029528251, 'fold_8': 0.8734887395382688, 'fold_9': 0.7577803841450108}",{},0.822,0.365
20,"('rbf', 0.2, 1.0)","{'fold_0': 0.8618334161767476, 'fold_1': 0.6316450733497406, 'fold_2': 0.3875327382258769, 'fold_3': 0.5467922606349732, 'fold_4': 0.5421781901741997, 'fold_5': 0.5020517789456377, 'fold_6': 0.5617854126272701, 'fold_7': 0.561006527362252, 'fold_8': 0.5350196304487628, 'fold_9': 0.6414935257878127}","{'fold_0': 0.26549967067588265, 'fold_1': 0.611607767441958, 'fold_2': 0.7519719352224844, 'fold_3': 0.6715828629139844, 'fold_4': 0.6565891230936927, 'fold_5': 0.5549939908112256, 'fold_6': 0.6406057559232425, 'fold_7': 0.6105758733210116, 'fold_8': 0.5779812022613015, 'fold_9': 0.407150065074938}",{},0.5749,0.577
21,"('rbf', 0.5, 0.05)","{'fold_0': 0.5116793687140797, 'fold_1': 0.30258900498997066, 'fold_2': 0.24651908135656003, 'fold_3': 0.19039472483724817, 'fold_4': 0.2142476517669742, 'fold_5': 0.29748499357919544, 'fold_6': 0.21260905824139043, 'fold_7': 0.2774697562417947, 'fold_8': 0.2168408037117469, 'fold_9': 0.2849559710277325}","{'fold_0': 0.7410945758787646, 'fold_1': 0.9108686270795182, 'fold_2': 0.8996343475621884, 'fold_3': 0.9601809480202634, 'fold_4': 0.946375642633947, 'fold_5': 0.8437575714081199, 'fold_6': 0.9485253113173435, 'fold_7': 0.9047382991799424, 'fold_8': 0.9306774741398968, 'fold_9': 0.8830188882000405}",{},0.8969,0.275
22,"('rbf', 0.5, 0.1)","{'fold_0': 0.5173017792178034, 'fold_1': 0.289645266451067, 'fold_2': 0.23696952695285173, 'fold_3': 0.19574243605690891, 'fold_4': 0.2117217378415739, 'fold_5': 0.29586016534825144, 'fold_6': 0.21628553887804852, 'fold_7': 0.2816608608001067, 'fold_8': 0.22233406471540518, 'fold_9': 0.28935318103037744}","{'fold_0': 0.73537353164263, 'fold_1': 0.9183310107985929, 'fold_2': 0.9072595852187529, 'fold_3': 0.9579126994844555, 'fold_4': 0.9476326183810938, 'fold_5': 0.8454596660891154, 'fold_6': 0.9467296970003677, 'fold_7': 0.901838761240661, 'fold_8': 0.9271206689749039, 'fold_9': 0.8793807167155941}",{},0.8967,0.276
23,"('rbf', 0.5, 0.15)","{'fold_0': 0.5342154244906409, 'fold_1': 0.2951666653833857, 'fold_2': 0.22835202182177658, 'fold_3': 0.20243969506019485, 'fold_4': 0.20918519792862125, 'fold_5': 0.29840877757770967, 'fold_6': 0.2251363449972237, 'fold_7': 0.2925513564505615, 'fold_8': 0.21779727632661314, 'fold_9': 0.29357062140078083}","{'fold_0': 0.7177862411469595, 'fold_1': 0.9151876830857238, 'fold_2': 0.9138820361082655, 'fold_3': 0.9549834257698595, 'fold_4': 0.9488798805276712, 'fold_5': 0.8427857014983267, 'fold_6': 0.9422806510779478, 'fold_7': 0.8941011465322651, 'fold_8': 0.9300645698297016, 'fold_9': 0.8758389417713082}",{},0.8936,0.28
24,"('rbf', 0.5, 0.2)","{'fold_0': 0.5456926596672783, 'fold_1': 0.301619618074954, 'fold_2': 0.21932466179995927, 'fold_3': 0.20154841177078245, 'fold_4': 0.21212542897453637, 'fold_5': 0.2996543587529999, 'fold_6': 0.22623466144501203, 'fold_7': 0.3082834464688274, 'fold_8': 0.2304681145783663, 'fold_9': 0.31496324935664666}","{'fold_0': 0.7055296581734706, 'fold_1': 0.9114388023561869, 'fold_2': 0.9205563905988182, 'fold_3': 0.955378943026821, 'fold_4': 0.9474327295841145, 'fold_5': 0.8414705132335818, 'fold_6': 0.941716115460364, 'fold_7': 0.8824053843307317, 'fold_8': 0.9216905705625233, 'fold_9': 0.8570842852205981}",{},0.8885,0.286
25,"('rbf', 0.5, 0.25)","{'fold_0': 0.5562268637762038, 'fold_1': 0.32056510283593437, 'fold_2': 0.22511359010412604, 'fold_3': 0.2003053453326375, 'fold_4': 0.2237820197206886, 'fold_5': 0.2957171654169612, 'fold_6': 0.2327890699707965, 'fold_7': 0.32220780247666714, 'fold_8': 0.23971256695284757, 'fold_9': 0.32710988605167574}","{'fold_0': 0.6940508461669044, 'fold_1': 0.8999638900928365, 'fold_2': 0.9163073230784788, 'fold_3': 0.9559276537749293, 'fold_4': 0.9414967035271989, 'fold_5': 0.8456090198652091, 'fold_6': 0.9382900248315411, 'fold_7': 0.8715425987412455, 'fold_8': 0.915282336997505, 'fold_9': 0.8458485689820018}",{},0.8824,0.294
26,"('rbf', 0.5, 0.5)","{'fold_0': 0.6199901102489359, 'fold_1': 0.3371978716951133, 'fold_2': 0.23496004032737894, 'fold_3': 0.22428375921118365, 'fold_4': 0.2369710585916551, 'fold_5': 0.32087817857294404, 'fold_6': 0.27567913768172864, 'fold_7': 0.36547228213657884, 'fold_8': 0.2772217879618369, 'fold_9': 0.3572380144783913}","{'fold_0': 0.6198851291331642, 'fold_1': 0.8893136772945963, 'fold_2': 0.9088257820405261, 'fold_3': 0.9447443430799022, 'fold_4': 0.934397471786414, 'fold_5': 0.8182186926323879, 'fold_6': 0.9134557926827014, 'fold_7': 0.8347292811076849, 'fold_8': 0.8866955199309396, 'fold_9': 0.8161449534891942}",{},0.8566,0.325
27,"('rbf', 0.5, 1.0)","{'fold_0': 0.8380151450180291, 'fold_1': 0.544953624772582, 'fold_2': 0.34156278596796974, 'fold_3': 0.4879295276980571, 'fold_4': 0.470427159859654, 'fold_5': 0.4142205696674223, 'fold_6': 0.512132528633406, 'fold_7': 0.5101901227102859, 'fold_8': 0.4129234606271401, 'fold_9': 0.5472482894690825}","{'fold_0': 0.30553706484803855, 'fold_1': 0.7109031224917448, 'fold_2': 0.8073251075518506, 'fold_3': 0.738485788507866, 'fold_4': 0.7414677448222103, 'fold_5': 0.6970770495120732, 'fold_6': 0.7013277154251142, 'fold_7': 0.6779293729973959, 'fold_8': 0.7486195619681706, 'fold_9': 0.5685514172219275}",{},0.6697,0.508
28,"('rbf', 1.0, 0.05)","{'fold_0': 0.5041672230559826, 'fold_1': 0.2920319481418775, 'fold_2': 0.2524494114943999, 'fold_3': 0.18580521570337552, 'fold_4': 0.2090265138228332, 'fold_5': 0.28701925937117356, 'fold_6': 0.21116774504953517, 'fold_7': 0.266779091319918, 'fold_8': 0.21983245609507435, 'fold_9': 0.27668437118316574}","{'fold_0': 0.7486409349260639, 'fold_1': 0.9169795580586076, 'fold_2': 0.8947474186133422, 'fold_3': 0.9620775056949344, 'fold_4': 0.9489574087059279, 'fold_5': 0.8545576329828949, 'fold_6': 0.9492208571347454, 'fold_7': 0.9119375824436057, 'fold_8': 0.9287514572597838, 'fold_9': 0.8897116910611255}",{},0.9006,0.27
29,"('rbf', 1.0, 0.1)","{'fold_0': 0.5010224086922586, 'fold_1': 0.2956957419781366, 'fold_2': 0.2368963691128122, 'fold_3': 0.1901437771711178, 'fold_4': 0.2001027442324564, 'fold_5': 0.28321218385144803, 'fold_6': 0.2158794993338352, 'fold_7': 0.2712716542615525, 'fold_8': 0.21777871521677208, 'fold_9': 0.286546813908553}","{'fold_0': 0.75176693044639, 'fold_1': 0.9148833639800842, 'fold_2': 0.9073168384970439, 'fold_3': 0.9602858449696869, 'fold_4': 0.9532226032611616, 'fold_5': 0.8583903919466641, 'fold_6': 0.9469295212370575, 'fold_7': 0.908946664943456, 'fold_8': 0.9300764893900436, 'fold_9': 0.8817090855612109}",{},0.9014,0.27
30,"('rbf', 1.0, 0.15)","{'fold_0': 0.5135261405815562, 'fold_1': 0.3002227014794418, 'fold_2': 0.23895911714097975, 'fold_3': 0.19358576809238845, 'fold_4': 0.19954746132504472, 'fold_5': 0.2867792095495451, 'fold_6': 0.2268535725784363, 'fold_7': 0.2795348404390148, 'fold_8': 0.2197292317853575, 'fold_9': 0.29524570778057824}","{'fold_0': 0.7392223013970421, 'fold_1': 0.9122572247594449, 'fold_2': 0.9056957553450636, 'fold_3': 0.9588350165553436, 'fold_4': 0.9534818565684992, 'fold_5': 0.8548008139759908, 'fold_6': 0.9413967843135084, 'fold_7': 0.9033150413934309, 'fold_8': 0.9288183523404127, 'fold_9': 0.8744179967521319}",{},0.8972,0.275
31,"('rbf', 1.0, 0.2)","{'fold_0': 0.5305622516391757, 'fold_1': 0.30325665615937747, 'fold_2': 0.23582526082090766, 'fold_3': 0.19269882258448082, 'fold_4': 0.2132002907947886, 'fold_5': 0.3022432557063492, 'fold_6': 0.22816904797187995, 'fold_7': 0.2946507739891697, 'fold_8': 0.23608605060934307, 'fold_9': 0.2959058029100555}","{'fold_0': 0.7216328187216006, 'fold_1': 0.9104748631542867, 'fold_2': 0.9081530629951984, 'fold_3': 0.9592113609185214, 'fold_4': 0.9468986521336143, 'fold_5': 0.8387194140912135, 'fold_6': 0.9407151586753721, 'fold_7': 0.8925757826126982, 'fold_8': 0.9178262671135935, 'fold_9': 0.8738558294868007}",{},0.891,0.283
32,"('rbf', 1.0, 0.25)","{'fold_0': 0.5436301263173741, 'fold_1': 0.3065387643000288, 'fold_2': 0.22906687391659478, 'fold_3': 0.1912260469231564, 'fold_4': 0.2229610931973647, 'fold_5': 0.3037809733919377, 'fold_6': 0.22856779542973246, 'fold_7': 0.30562522319753754, 'fold_8': 0.2464231729275761, 'fold_9': 0.3088103163154743}","{'fold_0': 0.7077514476440533, 'fold_1': 0.9085265383729962, 'fold_2': 0.9133420105356799, 'fold_3': 0.9598324643619289, 'fold_4': 0.9419251456012534, 'fold_5': 0.8370741506326348, 'fold_6': 0.9405077656368337, 'fold_7': 0.8844245978634521, 'fold_8': 0.9104727071743075, 'fold_9': 0.8626135753224532}",{},0.8866,0.289
33,"('rbf', 1.0, 0.5)","{'fold_0': 0.6199133914144891, 'fold_1': 0.32902067021096726, 'fold_2': 0.23908175206399626, 'fold_3': 0.2246862756857369, 'fold_4': 0.22664755921450236, 'fold_5': 0.3229382917102355, 'fold_6': 0.27717534117933035, 'fold_7': 0.349695356569495, 'fold_8': 0.2574746167512827, 'fold_9': 0.34123144045877635}","{'fold_0': 0.6199791956838594, 'fold_1': 0.8946169715410548, 'fold_2': 0.9055989357591369, 'fold_3': 0.9445458332077176, 'fold_4': 0.9399888357517445, 'fold_5': 0.8158770424891231, 'fold_6': 0.9125138343352294, 'fold_7': 0.8486903045711581, 'fold_8': 0.9022625053032045, 'fold_9': 0.8322516333647044}",{},0.8616,0.319
34,"('rbf', 1.0, 1.0)","{'fold_0': 0.8399821466448735, 'fold_1': 0.5420089296281257, 'fold_2': 0.3272653020085599, 'fold_3': 0.46675219716835276, 'fold_4': 0.4508227278609908, 'fold_5': 0.40735683450697363, 'fold_6': 0.49958541960014125, 'fold_7': 0.5048603865111893, 'fold_8': 0.40505128071408125, 'fold_9': 0.543575750027254}","{'fold_0': 0.302273131277055, 'fold_1': 0.7140189917964976, 'fold_2': 0.8231178717911944, 'fold_3': 0.7606938635992893, 'fold_4': 0.7625667350675897, 'fold_5': 0.7070328883815318, 'fold_6': 0.7157832224056466, 'fold_7': 0.6846232910756131, 'fold_8': 0.7581130818866397, 'fold_9': 0.5743228200802206}",{},0.6803,0.499
35,"('rbf', 1.5, 0.05)","{'fold_0': 0.5033687483761333, 'fold_1': 0.2899800780855153, 'fold_2': 0.2547014301413087, 'fold_3': 0.18610525191966273, 'fold_4': 0.20181428919315814, 'fold_5': 0.28968705133438327, 'fold_6': 0.21424031922014686, 'fold_7': 0.25656644208500834, 'fold_8': 0.2225979422185418, 'fold_9': 0.2709108812555164}","{'fold_0': 0.7494364841308214, 'fold_1': 0.9181420932864606, 'fold_2': 0.8928611950604399, 'fold_3': 0.9619549331579561, 'fold_4': 0.9524189759573912, 'fold_5': 0.8518413468362404, 'fold_6': 0.9477323932730527, 'fold_7': 0.9185508175680339, 'fold_8': 0.9269475724390772, 'fold_9': 0.8942663756540666}",{},0.9014,0.269
36,"('rbf', 1.5, 0.1)","{'fold_0': 0.498486403853528, 'fold_1': 0.2965719980862348, 'fold_2': 0.23957245253833467, 'fold_3': 0.18776857341660494, 'fold_4': 0.19491802352181012, 'fold_5': 0.2909635938281541, 'fold_6': 0.21790635532854954, 'fold_7': 0.2642443490877743, 'fold_8': 0.2224711470750796, 'fold_9': 0.2864622362204502}","{'fold_0': 0.7542735131700694, 'fold_1': 0.9143781522263146, 'fold_2': 0.905211033430487, 'fold_3': 0.9612718361940087, 'fold_4': 0.9556152316703533, 'fold_5': 0.8505327102914058, 'fold_6': 0.9459283036240597, 'fold_7': 0.9136030436413486, 'fold_8': 0.9270307722643386, 'fold_9': 0.8817789051862615}",{},0.901,0.27
