,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
10,"('rbf', 0.1, 0.2)","{'fold_0': 0.42883782233385753, 'fold_1': 0.5044179757770126, 'fold_2': 0.5039296626720547, 'fold_3': 0.6196036018175675, 'fold_4': 0.6008981757787514, 'fold_5': 0.6462029869604627, 'fold_6': 0.4565178490412688, 'fold_7': 0.6466458774269954, 'fold_8': 0.46784979911887103, 'fold_9': 0.695675399469107}","{'fold_0': 0.8809173731595361, 'fold_1': 0.8829495959859626, 'fold_2': 0.8177810996646315, 'fold_3': 0.7591241897402095, 'fold_4': 0.839748338163184, 'fold_5': 0.8171113470243525, 'fold_6': 0.8707125984781281, 'fold_7': 0.7909222844196597, 'fold_8': 0.8500829058454409, 'fold_9': 0.7918848129378753}",{},0.8301,0.557
11,"('rbf', 0.1, 0.25)","{'fold_0': 0.4251398836871313, 'fold_1': 0.5126024878273778, 'fold_2': 0.5133726550148501, 'fold_3': 0.6244335537835876, 'fold_4': 0.6099994663019235, 'fold_5': 0.6467528019197767, 'fold_6': 0.4576728589610531, 'fold_7': 0.6437007602608149, 'fold_8': 0.4701626353530577, 'fold_9': 0.7066861843821687}","{'fold_0': 0.8829622562174604, 'fold_1': 0.8791203409599218, 'fold_2': 0.8108880208032604, 'fold_3': 0.755354188574676, 'fold_4': 0.8348571859081901, 'fold_5': 0.8167999968840179, 'fold_6': 0.8700575654492138, 'fold_7': 0.7928224160679401, 'fold_8': 0.8485969984673838, 'fold_9': 0.7852448024258113}",{},0.8277,0.561
12,"('rbf', 0.1, 0.5)","{'fold_0': 0.44579989133463427, 'fold_1': 0.5594211792691489, 'fold_2': 0.5653565424829189, 'fold_3': 0.6647785648567274, 'fold_4': 0.6338435657812392, 'fold_5': 0.6960355508934754, 'fold_6': 0.4813884662540483, 'fold_7': 0.6940766224561935, 'fold_8': 0.49112479354845023, 'fold_9': 0.7622132356266371}","{'fold_0': 0.8713107828984346, 'fold_1': 0.8560307918736231, 'fold_2': 0.7706501711765219, 'fold_3': 0.7227194949857136, 'fold_4': 0.8216944164914036, 'fold_5': 0.7878164635051298, 'fold_6': 0.856241992920546, 'fold_7': 0.7591262056516891, 'fold_8': 0.8347954594319711, 'fold_9': 0.7501706526774881}",{},0.8031,0.599
13,"('rbf', 0.1, 1.0)","{'fold_0': 0.5896100135073963, 'fold_1': 0.7244728284892111, 'fold_2': 0.7350937171091813, 'fold_3': 0.8341250403441571, 'fold_4': 0.7756031720992528, 'fold_5': 0.7915783864760837, 'fold_6': 0.5735542214745242, 'fold_7': 0.8187845245279834, 'fold_8': 0.6138496614423962, 'fold_9': 0.9017182639822309}","{'fold_0': 0.7748914743647339, 'fold_1': 0.7585451069783259, 'fold_2': 0.6122614361997116, 'fold_3': 0.5634563866128091, 'fold_4': 0.7330192652151304, 'fold_5': 0.7255667719364525, 'fold_6': 0.7959250760150975, 'fold_7': 0.6647923114830576, 'fold_8': 0.7419152743123409, 'fold_9': 0.6503510615402657}",{},0.7021,0.736
14,"('rbf', 0.2, 0.05)","{'fold_0': 0.4315694170225808, 'fold_1': 0.44392874524872394, 'fold_2': 0.4625364269313671, 'fold_3': 0.5642118293172713, 'fold_4': 0.5165320848374293, 'fold_5': 0.5472212797713306, 'fold_6': 0.42508912485256584, 'fold_7': 0.5852545895704572, 'fold_8': 0.41901686163231516, 'fold_9': 0.6606959768929022}","{'fold_0': 0.8793954856325916, 'fold_1': 0.9093394515940589, 'fold_2': 0.8464868942697741, 'fold_3': 0.8002670594511438, 'fold_4': 0.881588092476643, 'fold_5': 0.8688480374234056, 'fold_6': 0.8879012754876967, 'fold_7': 0.8287366731015409, 'fold_8': 0.8797455211671881, 'fold_9': 0.8122872352991912}",{},0.8595,0.506
15,"('rbf', 0.2, 0.1)","{'fold_0': 0.4252084584315555, 'fold_1': 0.4501427729372575, 'fold_2': 0.46048565653711776, 'fold_3': 0.5660873607513555, 'fold_4': 0.5248336744478875, 'fold_5': 0.5466386381958184, 'fold_6': 0.42404124805673055, 'fold_7': 0.5835327259908233, 'fold_8': 0.41749182740797836, 'fold_9': 0.6603397055330975}","{'fold_0': 0.8829244969718271, 'fold_1': 0.9067835904756656, 'fold_2': 0.8478451536299294, 'fold_3': 0.7989369631524619, 'fold_4': 0.877751326372264, 'fold_5': 0.869127170960688, 'fold_6': 0.8884532579523053, 'fold_7': 0.8297429301830677, 'fold_8': 0.8806192734180923, 'fold_9': 0.8124896238503504}",{},0.8595,0.506
16,"('rbf', 0.2, 0.15)","{'fold_0': 0.42817523971310284, 'fold_1': 0.455453809325278, 'fold_2': 0.4629002333915287, 'fold_3': 0.5657733375332777, 'fold_4': 0.5335963325264101, 'fold_5': 0.5500944537384034, 'fold_6': 0.4275360386530984, 'fold_7': 0.5880599148068201, 'fold_8': 0.41998292514168006, 'fold_9': 0.6609814301311925}","{'fold_0': 0.8812850698524273, 'fold_1': 0.9045709754422004, 'fold_2': 0.8462453088711963, 'fold_3': 0.7991599709564843, 'fold_4': 0.8736351044594944, 'fold_5': 0.8674672005748494, 'fold_6': 0.8866070275000835, 'fold_7': 0.8270908908368365, 'fold_8': 0.8791903769892825, 'fold_9': 0.8121249979200563}",{},0.8577,0.509
17,"('rbf', 0.2, 0.2)","{'fold_0': 0.42848547705407214, 'fold_1': 0.4605163269599428, 'fold_2': 0.4670136578834271, 'fold_3': 0.566535455393321, 'fold_4': 0.5404986234440624, 'fold_5': 0.5631615763828338, 'fold_6': 0.4240553536503095, 'fold_7': 0.5929464305932416, 'fold_8': 0.4259257832705836, 'fold_9': 0.6645142732207173}","{'fold_0': 0.8811129760763736, 'fold_1': 0.9024377356775263, 'fold_2': 0.8435005775350061, 'fold_3': 0.7986185284589326, 'fold_4': 0.8703447952892764, 'fold_5': 0.8610959620781669, 'fold_6': 0.8884458366970125, 'fold_7': 0.824205356430127, 'fold_8': 0.875747217661315, 'fold_9': 0.8101113054104127}",{},0.8556,0.513
18,"('rbf', 0.2, 0.25)","{'fold_0': 0.43414822871861763, 'fold_1': 0.46811891182449744, 'fold_2': 0.4749983637371627, 'fold_3': 0.5684540056792462, 'fold_4': 0.5433826112184579, 'fold_5': 0.5741875811039093, 'fold_6': 0.4263286896557158, 'fold_7': 0.6012463694824001, 'fold_8': 0.43617921295423384, 'fold_9': 0.6654023181432862}","{'fold_0': 0.8779498523338006, 'fold_1': 0.8991898686256494, 'fold_2': 0.83810337217814, 'fold_3': 0.7972522779498423, 'fold_4': 0.8689574777300313, 'fold_5': 0.8556035789638219, 'fold_6': 0.8872465599447737, 'fold_7': 0.8192494389871021, 'fold_8': 0.8696928668710608, 'fold_9': 0.8096034386128832}",{},0.8523,0.519
19,"('rbf', 0.2, 0.5)","{'fold_0': 0.44513685674263226, 'fold_1': 0.4983827723864087, 'fold_2': 0.5312233209750282, 'fold_3': 0.6044293005942032, 'fold_4': 0.5557855635431954, 'fold_5': 0.6074829881918269, 'fold_6': 0.43953220941690196, 'fold_7': 0.6344410182625763, 'fold_8': 0.452652969325662, 'fold_9': 0.6917598853405813}","{'fold_0': 0.8716932951077055, 'fold_1': 0.8857337827665651, 'fold_2': 0.7975080135983799, 'fold_3': 0.7707779777590901, 'fold_4': 0.8629069954902745, 'fold_5': 0.8383718209470807, 'fold_6': 0.8801543998596192, 'fold_7': 0.7987401118759344, 'fold_8': 0.8596640276050793, 'fold_9': 0.79422091607216}",{},0.836,0.546
